         16028 function calls (15734 primitive calls) in 0.221 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       78    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
       79    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
       23    0.000    0.000    0.000    0.000 _parser.py:292(tell)
       50    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       17    0.000    0.000    0.000    0.000 argparse.py:571(format)
       59    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 tempfile.py:876(SpooledTemporaryFile)
       89    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        4    0.000    0.000    0.000    0.000 argparse.py:991(__init__)
       12    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 suite.py:83(__call__)
       40    0.000    0.000    0.000    0.000 _parser.py:255(match)
        1    0.000    0.000    0.000    0.000 _compiler.py:394(_bytes_to_codes)
       22    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        6    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
       40    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1171(_SubParsersAction)
       17    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
       49    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 difflib.py:44(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 warnings.py:170(simplefilter)
        8    0.000    0.000    0.000    0.000 <frozen os>:798(decode)
        4    0.000    0.000    0.000    0.000 case.py:405(__init_subclass__)
       30    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 suite.py:102(run)
        1    0.000    0.000    0.000    0.000 threading.py:428(notify_all)
       24    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 runner.py:193(_makeResult)
       24    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        3    0.000    0.000    0.000    0.000 _compiler.py:470(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 loader.py:63(TestLoader)
        1    0.000    0.000    0.000    0.000 random.py:103(Random)
       21    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       17    0.000    0.000    0.000    0.000 argparse.py:563(_metavar_formatter)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:592(__init__)
        4    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 selectors.py:84(BaseSelector)
       32    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 threading.py:858(Thread)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 traceback.py:997(TracebackException)
        1    0.000    0.000    0.000    0.000 filecmp.py:88(dircmp)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f464a2b6200}
        2    0.000    0.000    0.000    0.000 argparse.py:1123(__init__)
       24    0.000    0.000    0.000    0.000 __init__.py:432(<genexpr>)
       24    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 traceback.py:428(StackSummary)
        1    0.000    0.000    0.000    0.000 _parser.py:97(closegroup)
       34    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 case.py:244(_AssertRaisesContext)
        6    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 runner.py:38(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:2010(take_action)
       41    0.000    0.000    0.000    0.000 enum.py:921(<lambda>)
        1    0.000    0.000    0.000    0.000 argparse.py:766(Action)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        2    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
        1    0.000    0.000    0.000    0.000 argparse.py:1757(ArgumentParser)
       32    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        6    0.000    0.000    0.000    0.000 functools.py:66(wraps)
